frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
50,3,0.9646473421657 1527.0518542002148 1380.3656021018987 2151.0,0.0 2021.0 1285.0 2105.0,0.2564835250377655,NA13NRU,0.26303539856707764
51,3,0.3633395126369 1531.7408424262157 1380.164250314403 2152.0,0.5 2025.75 1278.5 2106.0,0,0,0
52,3,0.762031683108 1536.4298306522167 1379.9628985269073 2153.0,0.0 2030.5 1272.0 2107.0,0.2598581314086914,NA13NRU,0.3230669476807986
53,3,0.9769945038372 1539.6492748772837 1381.3639336373406 2152.0,0.5 2036.0 1287.5 2120.0,0.2547587752342224,NA13MRU,0.40755505738712555
54,3,0.6811811611735 1544.0459442779509 1379.8754338724204 2152.0,0.5 2041.0 1286.5 2125.0,0.2641921043395996,NA13NRU,0.16801606740338812
55,3,0.6315202643957 1546.4415593494177 1380.510916006572 2151.0,0.5 2041.0 1286.5 2125.0,0.2900409996509552,NA13NRU,0.16801606740338812
56,3,0.4030327201037 1550.2569431421075 1378.9410797629382 2152.0,0.5 2045.5 1270.5 2124.0,0.26306360960006714,NA13NRU,0.22818145661843361
57,3,0.5519986207265 1553.7942116084891 1372.5189278981502 2152.0,0.5 2050.5 1272.5 2125.0,0.2549471855163574,NA13NRU,0.18084019965374024
58,3,0.9809441704961 1558.2746765156319 1372.9729187182395 2152.0,0.5 2056.5 1278.5 2133.0,0.25359198451042175,NA13NRU,0.5738500401380899
59,3,0.4077052942131 1561.8956633748246 1372.946911480418 2152.0,0.25 2062.5 1278.75 2140.0,0,0,0
60,3,0.8344664179301 1565.5166502340173 1372.9209042425966 2152.0,0.0 2068.5 1279.0 2147.0,0.26898103952407837,NA13NRU,0.568813443531622
61,3,0.5502673736719 1566.939977453147 1372.1749453841505 2151.0,0.5 2068.5 1279.5 2147.0,0.266157865524292,NA13NRU,0.48317197267718953
0,5,0.166015625 1154.079833984375 2785.6494140625 1736.0,0.5 1599.0 2672.5 1653.0,0.25247424840927124,HU51ISU,0.16629036224972643
1,5,0.398982088146 1154.2834652397519 2785.5585232511503 1736.0,0.5 1599.0 2672.5 1653.0,0.2537960410118103,HV51WSU,0.25696779876330544
2,5,0.1785940785826 1163.4532824877333 2783.9073971902612 1740.0,0.0 1601.5 2671.0 1652.0,0.25789329409599304,NU51TSU,0.021503904760230265
3,5,0.531565511281 1169.0065356318291 2783.1348762855278 1747.0,0.0 1605.0 2671.0 1657.0,0.2642640471458435,NU51VSU,0.05710338989811194
4,5,0.6997451779453 1171.5289868963862 2784.9978508450777 1751.0,0.0 1608.5 2675.0 1661.0,0.27972158789634705,NZ51RSU,0.053371355617379254
5,5,0.0966333198103 1174.1965168719948 2789.7639767679366 1755.0,0.5 1611.5 2676.5 1666.0,0.2526877820491791,HU51VSU,0.3278315307204986
6,5,0.9393922511517 1176.7568095608187 2788.933696840154 1758.0,0.5 1614.5 2677.5 1669.0,0.2875353991985321,HU51NSU,0.17191167516665698
7,5,0.044890801338 1177.398460868822 2788.412577168296 1759.0,0.0 1614.5 2677.0 1669.0,0.2823127508163452,HU51VSU,0.34483660681535605
8,5,0.1328814941126 1176.771345236494 2789.4467621970043 1762.0,0.0 1617.5 2674.0 1670.0,0.2731064558029175,HV53YSU,0.25936381265436687
